,0
0,0.8880000000000001
1,0.3679871999999997
2,0.8605186963537916
3,0.44409719744364157
4,0.9134370436654757
5,0.29255830042306064
6,0.7657813827235341
7,0.6636329494109953
8,0.8259297541081171
9,0.5319482429319826
10,0.9212234461621684
11,0.26851199109208707
12,0.7267292164078452
13,0.7347972909802127
14,0.7210198589489073
15,0.744255821215759
16,0.7042546470681963
17,0.7706361448588723
18,0.6539974852549316
19,0.8372536657800814
20,0.5041618701962194
21,0.9249359116949384
22,0.25688904252236866
23,0.7063191307109445
24,0.7674999403199168
25,0.6602419931367116
26,0.829993263451624
27,0.5220864504832241
28,0.9231950982086928
29,0.2623518627528989
30,0.7160364425930371
31,0.7523145452454579
32,0.6894482699530378
33,0.7922046061436635
34,0.609080932149178
35,0.8809749958934258
36,0.3879747942648157
37,0.8785663071359616
38,0.3947439390753309
39,0.8840082980629027
40,0.3793892199696816
41,0.8711762470397693
42,0.41524431644384713
43,0.8984209541882384
44,0.3376647500758144
45,0.8274948865385932
46,0.5281642673769738
47,0.9220650639595378
48,0.2658860026038757
49,0.7222053540258678
50,0.7423116883762834
51,0.7077546690020693
52,0.7653005907790104
53,0.66457770716954
54,0.8247824597204234
55,0.5347105092744208
56,0.9205421680198684
57,0.2706338541934504
58,0.73034733328404
59,0.7286783923810463
60,0.7315129135746749
61,0.7266865521382111
62,0.7348688661948535
63,0.7208954780616729
64,0.7444591947560485
65,0.7038868977671301
66,0.7711914917999146
67,0.6528841466687463
68,0.8385178194802664
69,0.5010010378090054
70,0.9249962923162284
71,0.2566991606145982
72,0.705977395751128
73,0.7680212560264579
74,0.6592090433765997
75,0.8312141778762997
76,0.5190995229827896
77,0.9236502704207706
78,0.26092565897790926
79,0.7135208000199563
80,0.7563128114476999
81,0.6819238479447706
82,0.8025437401311817
83,0.5863289556375132
84,0.8974250522485843
85,0.3405973130272773
86,0.830985898527742
87,0.5196588394103983
88,0.9235700611222338
89,0.2611770922873563
90,0.7139653893812089
91,0.7556096049437064
92,0.6832558004839326
93,0.8007440528792744
94,0.5903461542336683
95,0.894799017936189
96,0.3482948211154967
97,0.8398464931885972
98,0.4976661359494273
99,0.9249798463907958
100,0.2567508815981258
101,0.7060705056678307
102,0.7678793027670768
103,0.6594905128513917
104,0.8308822723484803
105,0.5199126108283725
106,0.9235329053409917
107,0.26129354894564855
108,0.7141711518326351
109,0.7552836555739247
110,0.683871944228211
111,0.7999071000652295
112,0.5922062059227184
113,0.8935426576805479
114,0.3519594533672052
115,0.8439107872448542
116,0.48738387054151106
117,0.9244110831267008
118,0.2585383603211163
119,0.7092762232852643
120,0.762952810759588
121,0.6691665314604396
122,0.8191159331444833
123,0.5482105784893051
124,0.9164002384503882
125,0.28346011324830145
126,0.7515087665485779
