,0
0,0.888
1,0.3679872
2,0.86051875
3,0.44409704
4,0.91343695
5,0.2925586
6,0.7657818
7,0.6636321
8,0.82593083
9,0.53194565
10,0.92122406
11,0.26851007
12,0.72672594
13,0.7348028
14,0.7210103
15,0.7442714
16,0.7042265
17,0.7706787
18,0.65391225
19,0.8373508
20,0.5039195
21,0.92494315
22,0.25686628
23,0.7062782
24,0.7675624
25,0.66011834
26,0.8301398
27,0.5217285
28,0.9232531
29,0.26217017
30,0.7157168
31,0.7528252
32,0.68849385
33,0.7935392
34,0.6061885
35,0.8832788
36,0.38146028
37,0.8730088
38,0.41019845
39,0.89516205
40,0.34723374
41,0.8386511
42,0.50066704
43,0.92499834
44,0.2566927
45,0.7059658
46,0.7680389
47,0.659174
48,0.83125544
49,0.5189984
50,0.9236645
51,0.260881
52,0.7134418
53,0.75643766
54,0.681687
55,0.80286235
56,0.5856153
57,0.8978791
58,0.33926117
59,0.82940316
60,0.52352613
61,0.9229522
62,0.2631124
63,0.71737176
64,0.7501733
65,0.69342935
66,0.7865648
67,0.62115824
68,0.87068653
69,0.41658854
70,0.89925736
71,0.3351962
72,0.8245069
73,0.53537256
74,0.9203705
75,0.27116793
76,0.7312528
77,0.72713196
78,0.73412097
79,0.7221933
80,0.74233156
81,0.707719
82,0.7653554
83,0.6644701
84,0.8249135
85,0.5343955
86,0.9206227
87,0.2703832
88,0.72992164
89,0.7294033
90,0.7302842
91,0.728786
92,0.7313308
93,0.7269984
94,0.7343454
95,0.7218043
96,0.7429705
97,0.7065717
98,0.7671141
99,0.6610052
100,0.8290861
101,0.5242986
102,0.9228155
103,0.2635401
104,0.7181209
105,0.74896616
106,0.6956587
107,0.7833554
108,0.62792593
109,0.8644493
110,0.43355376
111,0.9086641
112,0.30707648
113,0.78728795
114,0.6196229
115,0.87205434
116,0.4128296
117,0.89688486
118,0.34218493
119,0.8328494
120,0.51508176
121,0.92415845
122,0.25933155
123,0.71069115
124,0.7607542
125,0.6734268
126,0.81371564
127,0.56085527
128,0.91129756
129,0.29908696
130,0.7756457
131,0.643872
132,0.84841317
133,0.47585058
134,0.9228422
135,0.26345655
136,0.7179746
137,0.7492022
138,0.6952236
139,0.7839846
140,0.62660515
141,0.86569315
142,0.4301935
143,0.9069701
144,0.3121888
145,0.79448974
146,0.60412043
147,0.8848881
148,0.37688622
149,0.8689191
150,0.42142525
151,0.9021563
152,0.32660016
153,0.8137502
154,0.560775
155,0.9113337
156,0.29897705
157,0.77548224
158,0.64420533
159,0.8480578
160,0.47676632
161,0.92300266
162,0.26295438
163,0.7170947
164,0.7506186
165,0.6926042
166,0.7877434
167,0.6186539
168,0.8729086
169,0.410475
170,0.89534545
171,0.34669733
172,0.8380437
173,0.5021879
174,0.9249823
175,0.25674313
176,0.7060566
177,0.7679005
178,0.65944844
179,0.8309319
180,0.51979107
181,0.9235508
182,0.2612375
183,0.71407217
184,0.7554405
185,0.68357563
186,0.80030996
187,0.5913115
188,0.8941502
189,0.35018882
190,0.8419594
191,0.49233592
192,0.92478263
193,0.25737095
194,0.70718527
195,0.7661748
196,0.6628586
197,0.8268652
198,0.52968884
199,0.92173874
200,0.2669048
201,0.7239665
202,0.7394043
203,0.71293664
204,0.7572346
205,0.68017244
206,0.8048902
207,0.5810552
208,0.90069115
209,0.3309524
210,0.81926477
211,0.5478591
212,0.9165252
213,0.28307506
214,0.75089115
215,0.69209844
216,0.78846335
217,0.61711895
218,0.87424767
219,0.40677312
220,0.8928424
221,0.3539969
222,0.8461275
223,0.48172426
224,0.92376417
225,0.26056853
226,0.71288854
227,0.7573104
228,0.680028
229,0.8050827
230,0.5806209
231,0.900951
232,0.3301816
233,0.81829834
234,0.55013883
235,0.9156985
236,0.2856205
237,0.7549533
238,0.68449557
239,0.7990571
240,0.5940899
241,0.8922442
242,0.35573456
243,0.8479937
244,0.47693148
245,0.9230311
246,0.26286536
247,0.71693856
248,0.7508694
249,0.69213885
250,0.7884059
